StageID	TripID	DayID	IndividualID	HouseholdID	PSUID	VehicleID	IndTicketID	PersNo	TravDay	JourSeq	StageSeq	StageDistance	StageDistance_B01ID	StageTime	StageTime_B01ID	StageMode_B03ID	StageMode_B04ID	StageMode_B11ID	StageShortWalk_B01ID	NumBoardings	NumBoardings_B01ID	NumParty	NumParty_B01ID	NumPartyChild	NumPartyChild_B01ID	NumPartyAdult	NumPartyAdult_B01ID	StageVehicle	StageVehicle_B01ID	StageOccupant_B01ID	TicketNumber	TicketType_B01ID	StageFareCost	StageFareCost_B01ID	ShortWalkDay_B01ID	StagePassCost	StagePassCost_B01ID	StageCost	StageCost_B01ID	StageMain_B01ID	SSXSC	STTXSC	SD	WhereParked_B01ID	SurveyYear
500090	600089	700031	800006	2016004999	2016000514			1	4	1	1	1.93	2	45	6	2	1	2	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	1		-9		-9	2	1	45	1.93	-10	2016
500146	600140	700045	800009	2024002100	2024000309	2024002738		2	2	2	1	2.5	3	15	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	2.5	-10	2024
500147	600141	700045	800009	2024002100	2024000309	2024002738		2	2	3	1	2.5	3	15	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	15	2.5	-10	2024
500050	600050	700021	800004	2010002833	2010000217	2010003460		2	4	2	1	4.0	4	12	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500127	600125	700039	800007	2016004999	2016000514	2016006272		2	7	3	1	10.3	6	34	5	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	34	10.3	-10	2016
500071	600070	700028	800006	2016004999	2016000514			1	1	5	1	0.17	1	3	2	1	1	1	1		-9	1	1		-9		-9		-9	-9	-9	-9		-9	2		-9		-9	1	7	21	1.19	-10	2016
500136	600132	700041	800008	2024002100	2024000309			1	2	2	1	1.0	2	30	5	2	1	2	2		-9	2	2		-9		-9		-9	-9	-9	-9		-9	1		-9		-9	2	1	30	1.0	-10	2024
500132	600130	700040	800008	2024002100	2024000309	2024002738		1	1	2	1	1.0	2	6	2	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	2		-9		-9	1	1	6	1.0	-10	2024
500018	600018	700009	800002	2005004016	2005000292			1	3	1	1	2.5	3	15	4	8	4	6	2		-9	2	2		-9		-9		89	2	-9	-9		-9	-10		-9		-9	1	1	15	2.5	-9	2005
500005	600005	700003	800001	2003001535	2003000111		2003000912	1	3	1	1	9.0	5	30	5	22	10	16	2	1	1	1	1		-9		-9		-9	-9	1	10	0.0	1	-10	1.64	10	1.64	10	1	1	30	9.0	-9	2003
